PL,,Mean:,0.675
-4.089118,,STDEV:,5.031
-9.259193,,,
4.671972,,Lower:,-40
13.212751,,Upper:,40
10.564089,,Num,40
1.565601,,,
2.883058,,-40,
4.193896,,-38,
5.382979,,-36,
-8.195972,,-34,
-4.592081,,-32,
0.439577,,-30,
7.349881,,-28,
1.503621,,-26,
-1.257243,,-24,
-1.938875,,-22,
-1.787112,,-20,
4.645231,,-18,
-7.405333,,-16,
4.576333,,-14,
-3.653592,,-12,
1.105423,,-10,
-4.845285,,-8,
4.383631,,-6,
6.232999,,-4,
3.255285,,-2,
7.198292,,0,
8.796045,,2,
5.50572,,4,
-5.002667,,6,
4.493559,,8,
1.178409,,10,
-0.040701,,12,
1.695162,,14,
1.049038,,16,
-2.773227,,18,
2.989799,,20,
2.33338,,22,
3.653774,,24,
-3.905422,,26,
-0.733536,,28,
0.226406,,30,
5.160875,,32,
5.988542,,34,
0.719886,,36,
-1.523811,,38,
2.1229,,40,
6.482078,,,
-2.409367,,,
6.579077,,,
1.13007,,,
-2.025558,,,
6.747994,,,
-2.473158,,,
-13.027597,,,
3.987613,,,
2.46295,,,
5.68075,,,
2.009898,,,
-5.936421,,,
6.061636,,,
6.645509,,,
-4.450365,,,
1.582921,,,
3.029338,,,
5.417933,,,
3.159363,,,
5.02055,,,
-2.953863,,,
-11.111063,,,
-10.108912,,,
5.0738,,,
6.183601,,,
-5.144584,,,
-0.472767,,,
2.801545,,,
2.814391,,,
2.271313,,,
0.413826,,,
-6.22887,,,
-3.555882,,,
-6.142498,,,
-6.622624,,,
4.804871,,,
-10.988226,,,
-4.771166,,,
4.78339,,,
13.814194,,,
-3.391742,,,
-1.478007,,,
-2.139065,,,
-6.94879,,,
2.223243,,,
-0.597904,,,
1.214301,,,
3.326619,,,
-2.189329,,,
6.892023,,,
-8.214067,,,
-3.745484,,,
3.199034,,,
-10.325555,,,
-1.954601,,,
-0.477199,,,
6.246117,,,
4.205009,,,
2.135392,,,
3.981836,,,
3.589527,,,
-0.261385,,,
-5.56394,,,
2.143811,,,
-4.275076,,,
-5.384051,,,
1.90766,,,
2.82947,,,
0.362371,,,
2.41776,,,
2.300186,,,
-2.273905,,,
4.27054,,,
9.928234,,,
-6.017075,,,
-3.914609,,,
1.87425,,,
-4.29914,,,
-1.136879,,,
-1.363734,,,
-1.902066,,,
-2.949179,,,
3.949078,,,
3.482705,,,
-4.673195,,,
7.110408,,,
2.919692,,,
-0.295625,,,
5.041008,,,
7.276035,,,
-2.126588,,,
1.566865,,,
-5.201331,,,
-2.047316,,,
-16.233874,,,
0.855335,,,
1.729434,,,
3.088436,,,
-3.499929,,,
-3.62367,,,
-0.043221,,,
-4.237609,,,
6.758518,,,
-1.186964,,,
5.397652,,,
2.582656,,,
-11.954727,,,
4.867067,,,
6.024617,,,
3.009047,,,
1.376913,,,
3.528851,,,
0.061137,,,
1.059667,,,
2.358581,,,
0.589555,,,
1.837227,,,
5.797349,,,
-0.420851,,,
2.64665,,,
5.370979,,,
0.400365,,,
4.625452,,,
-10.579524,,,
4.174725,,,
6.643645,,,
2.27759,,,
5.891881,,,
-4.923852,,,
-5.780291,,,
3.290932,,,
2.21989,,,
-2.548073,,,
-4.618147,,,
3.961387,,,
2.625434,,,
-0.507964,,,
1.923675,,,
0.357302,,,
4.007476,,,
-14.580363,,,
-5.31571,,,
4.911318,,,
3.0045,,,
3.736555,,,
4.345461,,,
5.172026,,,
8.306453,,,
3.129267,,,
2.752239,,,
2.267316,,,
6.245424,,,
160,,,
