PL,,Mean:,0.00683301,,,
-3.409837,,STDEV:,4.643520183,,,
-2.599514,,,,,,
3.391875,,Lower:,-40,,,
1.922334,,Upper:,40,,,
4.771349,,Num,40,,,
3.801607,,,,,,
7.018891,,-40,,Bin,Frequency,
3.85493,,-38,,-40,0,0
3.925721,,-36,,-38,0,0
-2.992692,,-34,,-36,0,0
4.982524,,-32,,-34,0,0
-2.684924,,-30,,-32,0,0
0.272578,,-28,,-30,0,0
8.263362,,-26,,-28,0,0
1.491431,,-24,,-26,0,0
0.24724,,-22,,-24,0,0
1.970347,,-20,,-22,0,0
8.536665,,-18,,-20,0,0
1.967465,,-16,,-18,1,0.005
2.510532,,-14,,-16,0,0
3.374835,,-12,,-14,0,0
1.707738,,-10,,-12,3,0.015
7.190103,,-8,,-10,3,0.015
2.606849,,-6,,-8,5,0.025
-13.463186,,-4,,-6,7,0.035
1.993139,,-2,,-4,17,0.085
1.395913,,0,,-2,22,0.11
-1.771832,,2,,0,29,0.145
4.379817,,4,,2,38,0.19
3.942064,,6,,4,39,0.195
-8.698561,,8,,6,24,0.12
-13.080181,,10,,8,8,0.04
2.577801,,12,,10,4,0.02
2.56514,,14,,12,0,0
-3.557332,,16,,14,0,0
-1.377306,,18,,16,0,0
-5.19622,,20,,18,0,0
3.718842,,22,,20,0,0
0.947498,,24,,22,0,0
2.832295,,26,,24,0,0
1.549384,,28,,26,0,0
-2.839765,,30,,28,0,0
2.378014,,32,,30,0,0
-4.385297,,34,,32,0,0
-3.068773,,36,,34,0,0
4.781877,,38,,36,0,0
2.41391,,40,,38,0,0
-1.024073,,,,40,0,0
-6.580374,,,,More,0,200
-9.326239,,,,,,
-0.62662,,,,,,
1.815379,,,,,,
2.831457,,,,,,
-0.232055,,,,,,
8.225594,,,,,,
2.594302,,,,,,
1.363389,,,,,,
1.830113,,,,,,
-0.870364,,,,,,
-3.057938,,,,,,
3.038325,,,,,,
0.937522,,,,,,
0.086877,,,,,,
0.436394,,,,,,
-2.633186,,,,,,
-2.185218,,,,,,
1.275567,,,,,,
-5.663413,,,,,,
4.490032,,,,,,
2.995849,,,,,,
-18.153817,,,,,,
-0.304638,,,,,,
1.358339,,,,,,
2.115266,,,,,,
2.624894,,,,,,
1.701562,,,,,,
-11.776691,,,,,,
6.208386,,,,,,
2.381092,,,,,,
2.148738,,,,,,
-4.070147,,,,,,
3.509983,,,,,,
4.872849,,,,,,
-5.752036,,,,,,
-1.580969,,,,,,
8.502852,,,,,,
0.629164,,,,,,
-3.392306,,,,,,
-0.794154,,,,,,
5.436322,,,,,,
-12.125593,,,,,,
6.759652,,,,,,
1.758937,,,,,,
5.397596,,,,,,
-0.012559,,,,,,
-2.246779,,,,,,
5.581149,,,,,,
0.122646,,,,,,
1.967019,,,,,,
0.224562,,,,,,
5.520529,,,,,,
-4.415704,,,,,,
-2.439421,,,,,,
-2.445919,,,,,,
-4.209251,,,,,,
-2.370285,,,,,,
3.380919,,,,,,
1.649567,,,,,,
-5.006944,,,,,,
-6.545835,,,,,,
6.014256,,,,,,
2.187666,,,,,,
-4.799056,,,,,,
-0.528546,,,,,,
-4.922877,,,,,,
3.569672,,,,,,
5.896954,,,,,,
-4.282503,,,,,,
1.058699,,,,,,
-11.618499,,,,,,
7.348214,,,,,,
2.487916,,,,,,
-7.697654,,,,,,
-1.562065,,,,,,
-5.119757,,,,,,
2.730879,,,,,,
0.748916,,,,,,
-0.175491,,,,,,
-3.754718,,,,,,
4.358982,,,,,,
-1.571839,,,,,,
-1.284467,,,,,,
2.057847,,,,,,
-6.052336,,,,,,
4.004773,,,,,,
-0.363923,,,,,,
2.132142,,,,,,
-2.097868,,,,,,
-0.332223,,,,,,
7.307969,,,,,,
5.989167,,,,,,
3.059736,,,,,,
-2.430215,,,,,,
-0.590173,,,,,,
-7.095899,,,,,,
-1.188363,,,,,,
-1.382844,,,,,,
5.217786,,,,,,
3.828594,,,,,,
-2.83968,,,,,,
-1.294251,,,,,,
-5.494895,,,,,,
0.020146,,,,,,
2.418032,,,,,,
-11.300349,,,,,,
5.255794,,,,,,
-4.180749,,,,,,
-0.775197,,,,,,
2.182342,,,,,,
-1.589548,,,,,,
7.678834,,,,,,
0.174231,,,,,,
2.996778,,,,,,
4.501037,,,,,,
-1.839732,,,,,,
-1.969765,,,,,,
0.252711,,,,,,
-5.710957,,,,,,
-0.721324,,,,,,
2.733116,,,,,,
-7.834037,,,,,,
4.390707,,,,,,
1.260417,,,,,,
-0.054027,,,,,,
-1.362351,,,,,,
1.448424,,,,,,
-3.452817,,,,,,
-8.964483,,,,,,
-6.246805,,,,,,
0.780657,,,,,,
1.534618,,,,,,
4.867228,,,,,,
-9.391729,,,,,,
-4.220937,,,,,,
1.826801,,,,,,
-9.65884,,,,,,
0.212258,,,,,,
4.725796,,,,,,
-3.999222,,,,,,
0.130098,,,,,,
-0.958425,,,,,,
-2.748578,,,,,,
-5.820693,,,,,,
2.89072,,,,,,
4.857146,,,,,,
4.450901,,,,,,
3.270957,,,,,,
2.992364,,,,,,
5.129731,,,,,,
4.565054,,,,,,
160,,,,,,
