PL,,Mean:,0.258,,,
2.65528,,STDEV:,5.928,,,
-4.949944,,,,,,
11.56407,,Lower:,-30,,,
-7.175019,,Upper:,30,,,
2.365246,,Num,60,,,
1.711334,,,,,,
-3.239648,,-30,,Bin,Frequency,
4.979022,,-29,,-30,0,0
9.889704,,-28,,-29,0,0
5.844988,,-27,,-28,0,0
-8.004813,,-26,,-27,0,0
-1.021536,,-25,,-26,0,0
-6.216965,,-24,,-25,0,0
-0.002684,,-23,,-24,0,0
-6.175568,,-22,,-23,0,0
-4.101258,,-21,,-22,0,0
6.6536,,-20,,-21,0,0
-5.256141,,-19,,-20,0,0
6.714511,,-18,,-19,0,0
6.701992,,-17,,-18,0,0
-4.470629,,-16,,-17,0,0
-1.121981,,-15,,-16,1,0.005
1.916579,,-14,,-15,1,0.005
1.153687,,-13,,-14,1,0.005
-4.598795,,-12,,-13,1,0.005
6.780539,,-11,,-12,1,0.005
12.11154,,-10,,-11,3,0.015
-2.260822,,-9,,-10,2,0.01
-14.14508,,-8,,-9,2,0.01
-10.557284,,-7,,-8,3,0.015
-11.579893,,-6,,-7,7,0.035
7.263348,,-5,,-6,10,0.05
-0.46904,,-4,,-5,5,0.025
1.157484,,-3,,-4,9,0.045
5.65553,,-2,,-3,6,0.03
-2.100415,,-1,,-2,15,0.075
2.715547,,0,,-1,15,0.075
-2.957069,,1,,0,11,0.055
3.479067,,2,,1,13,0.065
1.68628,,3,,2,16,0.08
-1.12973,,4,,3,14,0.07
-1.713989,,5,,4,10,0.05
0.605652,,6,,5,15,0.075
-2.594099,,7,,6,9,0.045
19.512527,,8,,7,12,0.06
-4.501878,,9,,8,4,0.02
1.30862,,10,,9,2,0.01
4.110959,,11,,10,5,0.025
-0.189805,,12,,11,0,0
3.112906,,13,,12,1,0.005
5.741877,,14,,13,2,0.01
4.491146,,15,,14,2,0.01
-16.522465,,16,,15,0,0
9.0297,,17,,16,0,0
3.527309,,18,,17,1,0.005
-5.203712,,19,,18,0,0
9.777427,,20,,19,0,0
4.484587,,21,,20,1,0.005
1.771338,,22,,21,0,0
-10.343848,,23,,22,0,0
5.720747,,24,,23,0,0
-3.884102,,25,,24,0,0
-4.535065,,26,,25,0,0
-7.436088,,27,,26,0,0
-2.816453,,28,,27,0,0
4.486088,,29,,28,0,0
-2.789739,,30,,29,0,0
5.844662,,,,30,0,0
-9.183546,,,,More,0,200
2.85101,,,,,,
-7.747125,,,,,,
-13.205057,,,,,,
0.261326,,,,,,
-2.60557,,,,,,
-2.04104,,,,,,
-1.257344,,,,,,
-6.609711,,,,,,
0.001543,,,,,,
1.082948,,,,,,
5.746683,,,,,,
12.418103,,,,,,
-9.983499,,,,,,
9.541597,,,,,,
2.963726,,,,,,
-0.82185,,,,,,
4.039853,,,,,,
-6.070587,,,,,,
2.386579,,,,,,
6.970706,,,,,,
2.102772,,,,,,
13.97987,,,,,,
-4.576253,,,,,,
0.154521,,,,,,
3.354756,,,,,,
-8.380054,,,,,,
1.489955,,,,,,
-11.475824,,,,,,
-3.190186,,,,,,
16.143974,,,,,,
4.599076,,,,,,
-1.174108,,,,,,
0.938736,,,,,,
-0.220079,,,,,,
-11.145145,,,,,,
2.729079,,,,,,
3.526421,,,,,,
-3.180553,,,,,,
2.800628,,,,,,
9.0655,,,,,,
0.924824,,,,,,
-3.488982,,,,,,
2.660775,,,,,,
-8.477297,,,,,,
5.920632,,,,,,
0.503788,,,,,,
2.380472,,,,,,
-1.613145,,,,,,
3.9269,,,,,,
4.037497,,,,,,
-15.66679,,,,,,
0.234736,,,,,,
-1.650648,,,,,,
6.834474,,,,,,
-0.046969,,,,,,
-1.502006,,,,,,
13.531956,,,,,,
-5.640955,,,,,,
-7.2604,,,,,,
-2.002779,,,,,,
5.996183,,,,,,
1.120013,,,,,,
-7.113066,,,,,,
1.823569,,,,,,
-0.073345,,,,,,
-1.296239,,,,,,
0.75954,,,,,,
-5.278907,,,,,,
3.427908,,,,,,
0.349974,,,,,,
5.583573,,,,,,
4.828922,,,,,,
1.492217,,,,,,
-12.473701,,,,,,
-2.426795,,,,,,
7.028413,,,,,,
-6.605458,,,,,,
-6.875485,,,,,,
-1.465195,,,,,,
-2.619828,,,,,,
6.224143,,,,,,
-7.254241,,,,,,
-1.592405,,,,,,
-2.60006,,,,,,
4.637743,,,,,,
2.829387,,,,,,
1.422001,,,,,,
0.435663,,,,,,
6.309928,,,,,,
1.834451,,,,,,
-0.742396,,,,,,
-0.168815,,,,,,
0.370828,,,,,,
-6.769611,,,,,,
6.696308,,,,,,
3.761647,,,,,,
4.596323,,,,,,
-6.785031,,,,,,
-6.630947,,,,,,
-3.683305,,,,,,
4.650239,,,,,,
7.691797,,,,,,
4.055456,,,,,,
3.494406,,,,,,
-1.839794,,,,,,
2.912336,,,,,,
2.266876,,,,,,
6.132558,,,,,,
8.3836,,,,,,
-0.444741,,,,,,
3.509749,,,,,,
-2.911888,,,,,,
-4.953458,,,,,,
-2.776925,,,,,,
4.052207,,,,,,
-4.342532,,,,,,
-5.293788,,,,,,
-6.190222,,,,,,
7.039459,,,,,,
-2.156195,,,,,,
6.931565,,,,,,
-7.336454,,,,,,
-1.972226,,,,,,
-0.070339,,,,,,
1.426485,,,,,,
0.094325,,,,,,
1.271867,,,,,,
6.036417,,,,,,
8.243993,,,,,,
4.138875,,,,,,
-1.883545,,,,,,
40,,,,,,
