PL,,Mean:,0.150,,,
-17.526899,,STDEV:,9.344,,,
7.625793,,,,,,
-13.164548,,Lower:,-50,,,
-8.423353,,Upper:,50,,,
-13.050467,,Num,50,,,
6.240508,,,,,,
-15.051514,,-50,,Bin,Frequency,
1.038923,,-48,,-50,0,0
-6.545254,,-46,,-48,0,0
-0.250131,,-44,,-46,0,0
8.755844,,-42,,-44,0,0
6.530495,,-40,,-42,0,0
1.303941,,-38,,-40,0,0
5.348182,,-36,,-38,0,0
-14.939791,,-34,,-36,0,0
15.645321,,-32,,-34,0,0
-16.387633,,-30,,-32,0,0
1.873347,,-28,,-30,0,0
10.609253,,-26,,-28,0,0
24.509387,,-24,,-26,0,0
-0.204239,,-22,,-24,0,0
1.339067,,-20,,-22,3,0.015
-6.332252,,-18,,-20,1,0.005
1.710519,,-16,,-18,1,0.005
-1.537297,,-14,,-16,6,0.03
7.013693,,-12,,-14,6,0.03
17.440335,,-10,,-12,7,0.035
7.648489,,-8,,-10,3,0.015
2.961508,,-6,,-8,8,0.04
1.44836,,-4,,-6,13,0.065
3.375762,,-2,,-4,10,0.05
8.253081,,0,,-2,17,0.085
-1.290007,,2,,0,24,0.12
-1.72682,,4,,2,18,0.09
3.660569,,6,,4,17,0.085
-2.509762,,8,,6,15,0.075
3.594258,,10,,8,16,0.08
-2.919543,,12,,10,12,0.06
0.89521,,14,,12,4,0.02
5.174017,,16,,14,4,0.02
0.798571,,18,,16,4,0.02
-9.134649,,20,,18,6,0.03
-4.712068,,22,,20,2,0.01
-3.37302,,24,,22,0,0
-1.362502,,26,,24,1,0.005
3.290815,,28,,26,1,0.005
-13.078862,,30,,28,1,0.005
9.858107,,32,,30,0,0
1.702188,,34,,32,0,0
-1.874344,,36,,34,0,0
-6.224894,,38,,36,0,0
-0.948361,,40,,38,0,0
5.817484,,42,,40,0,0
-1.587279,,44,,42,0,0
7.11223,,46,,44,0,0
-9.150836,,48,,46,0,0
-5.205006,,50,,48,0,0
5.313733,,,,50,0,0
12.914185,,,,More,0,200
-0.472799,,,,,,
4.958917,,,,,,
-5.354245,,,,,,
7.765859,,,,,,
-7.196718,,,,,,
12.247653,,,,,,
11.480313,,,,,,
6.743952,,,,,,
17.186157,,,,,,
6.421909,,,,,,
2.976126,,,,,,
-3.527473,,,,,,
-0.705338,,,,,,
19.298657,,,,,,
12.988865,,,,,,
16.269495,,,,,,
9.423598,,,,,,
-7.72846,,,,,,
-6.219354,,,,,,
7.100575,,,,,,
3.165895,,,,,,
6.607627,,,,,,
1.248242,,,,,,
-3.293264,,,,,,
-2.053578,,,,,,
-12.601127,,,,,,
-20.918242,,,,,,
6.466313,,,,,,
26.663823,,,,,,
-2.562691,,,,,,
6.392432,,,,,,
15.318725,,,,,,
4.10248,,,,,,
-6.189082,,,,,,
13.983909,,,,,,
6.627527,,,,,,
-5.265439,,,,,,
-16.602051,,,,,,
3.263728,,,,,,
1.446007,,,,,,
-4.169704,,,,,,
-1.254809,,,,,,
-19.964659,,,,,,
-8.584548,,,,,,
4.528296,,,,,,
16.286681,,,,,,
-6.704447,,,,,,
5.039758,,,,,,
8.014387,,,,,,
9.474039,,,,,,
9.725817,,,,,,
1.61085,,,,,,
-11.208692,,,,,,
-4.939247,,,,,,
-6.214458,,,,,,
5.88478,,,,,,
-23.357955,,,,,,
-2.360801,,,,,,
0.332368,,,,,,
-0.225272,,,,,,
2.021054,,,,,,
-14.612847,,,,,,
4.559553,,,,,,
3.195225,,,,,,
3.231849,,,,,,
8.80995,,,,,,
1.252437,,,,,,
-17.34124,,,,,,
0.158717,,,,,,
5.380178,,,,,,
-1.604249,,,,,,
-11.897602,,,,,,
-0.172239,,,,,,
-2.486257,,,,,,
-2.019762,,,,,,
-6.340829,,,,,,
2.530227,,,,,,
18.009662,,,,,,
-0.481063,,,,,,
5.176943,,,,,,
-3.968629,,,,,,
-5.27247,,,,,,
-23.784911,,,,,,
5.460667,,,,,,
-2.469946,,,,,,
-13.822825,,,,,,
-1.358411,,,,,,
-0.273276,,,,,,
-7.299939,,,,,,
17.479359,,,,,,
6.10408,,,,,,
2.734319,,,,,,
-2.731789,,,,,,
-14.664329,,,,,,
-0.252993,,,,,,
8.468868,,,,,,
-2.331264,,,,,,
-1.223162,,,,,,
9.305195,,,,,,
-15.67485,,,,,,
-13.796583,,,,,,
-0.632205,,,,,,
-7.868933,,,,,,
9.922063,,,,,,
9.906611,,,,,,
-0.293845,,,,,,
-8.190394,,,,,,
0.33206,,,,,,
16.093497,,,,,,
-5.70156,,,,,,
-6.619579,,,,,,
22.225051,,,,,,
-1.839652,,,,,,
-8.057217,,,,,,
-4.347625,,,,,,
-12.987412,,,,,,
-3.879264,,,,,,
-4.152271,,,,,,
-3.095858,,,,,,
7.518701,,,,,,
-11.602121,,,,,,
-22.126317,,,,,,
2.217107,,,,,,
4.97636,,,,,,
11.139755,,,,,,
14.033576,,,,,,
-17.53012,,,,,,
-2.054047,,,,,,
-0.733713,,,,,,
4.286121,,,,,,
-9.558484,,,,,,
0.213808,,,,,,
11.476392,,,,,,
3.230896,,,,,,
14.729356,,,,,,
-8.084486,,,,,,
2.657935,,,,,,
-16.507295,,,,,,
3.18376,,,,,,
-15.442285,,,,,,
1.592052,,,,,,
160,,,,,,
